Town master list,,,,,,,,,
Towns in Tasmania,,,,,,,,,
Name,Postcode,RTO,LGA,Secondary LGA,Launceston and north,Hobart and south,East coast,West coast,North west
Lorinna,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Lottah,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Low Head,7253,VNT,George Town Council,N/A,Yes - featured,,,,
Lower Barrington,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Lower Beulah,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Lower Longley,7109,DST,Huon Valley Council,Kingborough Council,,Yes - featured,,,
Lower Marshes,7030,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Lower Snug,7054,DST,Kingborough Council,N/A,,Yes - featured,,,
Lower Turners Marsh,7267,VNT,Launceston City Council,George Town Council,Yes - featured,,,,
Lower Wattle Grove,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Lower Wilmot,7310,WxNW,Kentish Council,N/A,,,,,Yes - featured
Loyetea,7316,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Lucaston,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Lughrata,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Luina,7321,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Lulworth,7252,VNT,George Town Council,N/A,Yes - featured,,,,
Lunawanna,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Lune River,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Lutana,7009,DST,Glenorchy Council,N/A,,Yes - featured,,,
Lymington,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Lymwood,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Macquarie Heads,7468,WxNW,West Coast Council,N/A,,,,Yes - featured,
Macquarie Plains,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Magra,7140,DST,Derwent Valley Council,Southern Midlands Council,,Yes - featured,,,
Malbina,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Mangalore,7030,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Mangana,7214,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Margate,7054,DST,Kingborough Council,Huon Valley Council,,Yes - featured,,,
Marion Bay,7175,DST,Sorell Council,N/A,,Yes - featured,,,
Marrawah,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Mathinna,7214,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Mawbanna,7321,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Mayberry,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Maydena,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Mayfield,7248,VNT,Launceston City Council,N/A,Yes - featured,,,,
Meadowbank,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Meander,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Mella,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Melrose,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Melton Mowbray,7030,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Memana,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Mengha,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Mersey Forest,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Merseylea,7305,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Meunna,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Miandetta,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Middlesex,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Middleton,7163,DST,Kingborough Council,N/A,,Yes - featured,,,
Midway Point,7171,DST,Sorell Council,N/A,,Yes - featured,,,
Miena,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Milabena,7325,WxNW,Waratah-Wynyard Council,Circular Head Council,,,,,Yes - featured
Millers Bluff,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Moina,7310,WxNW,Kentish Council,N/A,,,,,Yes - featured
Mole Creek,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Molesworth,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Moltema,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Montagu,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Montagu Bay,7018,DST,Clarence City Council,N/A,,Yes - featured,,,
Montana,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Montello,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Montrose,7010,DST,Glenorchy Council,N/A,,Yes - featured,,,
Montumana,7321,WxNW,Circular Head Council,Waratah-Wynyard Council,,,,,Yes - featured
Moogara,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Moonah,7009,DST,Glenorchy Council,N/A,,Yes - featured,,,
Mooreville,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
Moorina,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
Moorleah,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Morass Bay,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Moriarty,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Mornington,7018,DST,Clarence City Council,N/A,,Yes - featured,,,
Mount Direction,7252,VNT,George Town Council,N/A,Yes - featured,,,,
Mount Field,7140,DST,Derwent Valley Council,Central Highlands Council,,Yes - featured,,,
Mount Hicks,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Mount Lloyd,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Mount Nelson,7007,DST,Hobart City Council,Kingborough Council,,Yes - featured,,,
Mount Roland,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Mount Rumney,7170,DST,Clarence City Council,N/A,,Yes - featured,,,
Mount Seymour,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Mount Stuart,7000,DST,Hobart City Council,N/A,,Yes - featured,,,
Mount William,7264,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Mountain River,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Mowbray,7248,VNT,Launceston City Council,N/A,Yes - featured,,,,
Murdunna,7178,DST,Tasman Council,N/A,,Yes - featured,,,
Musselroe Bay,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
Myalla,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Myrtle Bank,7259,VNT,Launceston City Council,N/A,Yes - featured,,,,
Nabageena,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Nabowla,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Naracoopa,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
National Park,7140,DST,Central Highlands Council,Derwent Valley Council,,Yes - featured,,,
Natone,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
Needles,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Neika,7054,DST,Kingborough Council,N/A,,Yes - featured,,,
Nelson Bay,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
New Norfolk,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
New Town,7008,DST,Hobart City Council,N/A,,Yes - featured,,,
Newnham,7248,VNT,Launceston City Council,N/A,Yes - featured,,,,
Newstead,7250,VNT,Launceston City Council,N/A,Yes - featured,,,,
Nicholls Rivulet,7112,DST,Huon Valley Council,N/A,,Yes - featured,,,
Nietta,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Nile,7212,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Nook,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
North Bruny,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
North Hobart,7000,DST,Hobart City Council,N/A,,Yes - featured,,,
North Lilydale,7268,VNT,Dorset Council,Launceston City Council,Yes - featured,,,,
North Motton,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
North Scottsdale,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Northdown,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Norwood,7250,VNT,Launceston City Council,N/A,Yes - featured,,,,
Notley Hills,7275,VNT,West Tamar Council,N/A,Yes - featured,,,,
Nowhere Else,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Nubeena,7184,DST,Tasman Council,N/A,,Yes - featured,,,
Nugara,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Nugent,7172,DST,Sorell Council,N/A,,Yes - featured,,,
Nunamara,7259,VNT,Launceston City Council,N/A,Yes - featured,,,,
Oakdowns,7019,DST,Clarence City Council,N/A,,Yes - featured,,,
Oaks,7303,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Oatlands,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Ocean Vista,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Old Beach,7017,DST,Brighton Council,N/A,,Yes - featured,,,
Oldina,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Oonah,7325,WxNW,Waratah-Wynyard Council,Burnie Council,,,,,Yes - featured
Opossum Bay,7023,DST,Clarence City Council,N/A,,Yes - featured,,,
Orford,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Orielton,7172,DST,Sorell Council,N/A,,Yes - featured,,,
Osmaston,7303,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Osterley,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Otago,7017,DST,Clarence City Council,N/A,,Yes - featured,,,
Ouse,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Oyster Cove,7150,DST,Kingborough Council,Huon Valley Council,,Yes - featured,,,
Palana,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Paloona,7310,WxNW,Devonport City Council,Kentish Council,,,,,Yes - featured
Paradise,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Parattah,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Park Grove,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Parkham,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Parklands,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Parrawe,7321,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Patersonia,7259,VNT,Launceston City Council,N/A,Yes - featured,,,,
Pawleena,7172,DST,Sorell Council,N/A,,Yes - featured,,,
Pawtella,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Pearshape,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Pegarah,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Pelham,7030,DST,Central Highlands Council,Southern Midlands Council,,Yes - featured,,,
Pelverata,7150,DST,Huon Valley Council,Kingborough Council,,Yes - featured,,,
Penguin,7316,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Penna,7171,DST,Sorell Council,N/A,,Yes - featured,,,
Perth,7300,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Petcheys Bay,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Pioneer,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
Pipers Brook,7254,VNT,George Town Council,N/A,Yes - featured,,,,
Pipers River,7252,VNT,George Town Council,Launceston City Council,Yes - featured,,,,
Plenty,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Poatina,7302,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Police Point,7116,DST,Huon Valley Council,N/A,,Yes - featured,,,
Pontville,7030,DST,Brighton Council,N/A,,Yes - featured,,,
Pontypool,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Port Arthur,7182,DST,Tasman Council,N/A,,Yes - featured,,,
Port Huon,7116,DST,Huon Valley Council,N/A,,Yes - featured,,,
Port Latta,7321,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Port Sorell,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Powranna,7300,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Premaydena,7185,DST,Tasman Council,N/A,,Yes - featured,,,
Preolenna,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Preservation Bay,7316,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Preston,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Primrose Sands,7173,DST,Sorell Council,N/A,,Yes - featured,,,
Promised Land,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Prospect,7250,VNT,Launceston City Council,N/A,Yes - featured,,,,
Prospect Vale,7250,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Punchbowl,7249,VNT,Launceston City Council,N/A,Yes - featured,,,,
Pyengana,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Quamby Bend,7292,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Quamby Brook,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Queens Domain,7000,DST,Hobart City Council,N/A,,Yes - featured,,,
Queenstown,7467,WxNW,West Coast Council,N/A,,,,Yes - featured,
Quoiba,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Railton,7305,WxNW,Kentish Council,N/A,,,,,Yes - featured
Raminea,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Randalls Bay,7112,DST,Huon Valley Council,N/A,,Yes - featured,,,
Ranelagh,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Ranga,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Ravenswood,7250,VNT,Launceston City Council,N/A,Yes - featured,,,,
Recherche,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Red Hills,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Redpa,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Reedy Marsh,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Reekara,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Relbia,7258,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Renison Bell,7469,WxNW,West Coast Council,N/A,,,,Yes - featured,
Retreat,7254,VNT,Launceston City Council,George Town Council,Yes - featured,,,,
Reynolds Neck,7304,DST,Central Highlands Council,N/A,,Yes - featured,,,
Rheban,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Rhyndaston,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Riana,7316,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Richmond,7025,DST,Clarence City Council,N/A,,Yes - featured,,,
Ridgeway,7054,DST,Hobart City Council,N/A,,Yes - featured,,,
Ridgley,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
Ringarooma,7263,VNT,Dorset Council,N/A,Yes - featured,,,,
Risdon,7017,DST,Clarence City Council,N/A,,Yes - featured,,,
Risdon Vale,7016,DST,Clarence City Council,N/A,,Yes - featured,,,
Riverside,7250,VNT,West Tamar Council,Meander Valley Council,Yes - featured,,,,
Robigana,7275,VNT,West Tamar Council,N/A,Yes - featured,,,,
Rocherlea,7248,VNT,Launceston City Council,N/A,Yes - featured,,,,
Roches Beach,7170,DST,Clarence City Council,N/A,,Yes - featured,,,
Rocky Cape,7321,WxNW,Circular Head Council,Waratah-Wynyard Council,,,,,Yes - featured
Rocky Hills,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Roger River,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Rokeby,7019,DST,Clarence City Council,N/A,,Yes - featured,,,
Roland,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Romaine,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Rose Bay,7015,DST,Clarence City Council,N/A,,Yes - featured,,,
Rosebery,7470,WxNW,West Coast Council,N/A,,,,Yes - featured,
Rosegarland,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Rosetta,7010,DST,Glenorchy Council,N/A,,Yes - featured,,,
Rosevale,7292,VNT,Meander Valley Council,West Tamar Council,Yes - featured,,,,
Rosevears,7277,VNT,West Tamar Council,N/A,Yes - featured,,,,
Rosny,7018,DST,Clarence City Council,N/A,,Yes - featured,,,
Rosny Park,7018,DST,Clarence City Council,N/A,,Yes - featured,,,
Ross,7209,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Rossarden,7213,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Round Hill,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Rowella,7270,VNT,West Tamar Council,N/A,Yes - featured,,,,
Royal George,7213,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Runnymede,7190,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Rushy Lagoon,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
Saltwater River,7186,DST,Tasman Council,N/A,,Yes - featured,,,
Sandfly,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Sandford,7020,DST,Clarence City Council,N/A,,Yes - featured,,,
Sandy Bay,7005,DST,Hobart City Council,N/A,,Yes - featured,,,
Sassafras,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Savage River,7321,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Scamander,7215,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Scopus,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Scotchtown,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Scottsdale,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Sea Elephant,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Selbourne,7292,VNT,Meander Valley Council,West Tamar Council,Yes - featured,,,,
Seven Mile Beach,7170,DST,Clarence City Council,N/A,,Yes - featured,,,
Seymour,7215,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Shannon,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Shearwater,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Sheffield,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Shorewell Park,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Sidmouth,7270,VNT,West Tamar Council,N/A,Yes - featured,,,,
Simpsons Bay,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Sisters Beach,7321,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Sisters Creek,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Sloping Main,7186,DST,Tasman Council,N/A,,Yes - featured,,,
Smithton,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Snug,7054,DST,Kingborough Council,N/A,,Yes - featured,,,
Somerset,7322,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Sorell,7172,DST,Sorell Council,N/A,,Yes - featured,,,
Sorell Creek,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
South Arm,7022,DST,Clarence City Council,N/A,,Yes - featured,,,
South Bruny,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
Bruny Island,7150,DST,Kingborough Council,N/A,,Yes - featured,,,
South Burnie,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
South Forest,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
South Hobart,7004,DST,Hobart City Council,N/A,,Yes - featured,,,
South Launceston,7249,VNT,Launceston City Council,N/A,Yes - featured,,,,
South Mount Cameron,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
South Nietta,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
South Preston,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
South Riana,7316,WxNW,Central Coast Council,N/A,,,,,Yes - featured
South Spreyton,7310,WxNW,Kentish Council,N/A,,,,,Yes - featured
South Springfield,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Southport,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Southport Lagoon,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Spalford,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Sprent,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Spreyton,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Spring Beach,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Springfield,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Squeaking Point,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
St Helens,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
St Leonards,7250,VNT,Launceston City Council,N/A,Yes - featured,,,,
St Marys,7215,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Stanley,7331,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Staverton,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Steppes,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Stieglitz,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Stonehenge,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Stonor,7119,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Stony Head,7252,VNT,George Town Council,N/A,Yes - featured,,,,
Stony Rise,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Stoodley,7306,WxNW,Kentish Council,N/A,,,,,Yes - featured
Stormlea,7184,DST,Tasman Council,N/A,,Yes - featured,,,
Stowport,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
Strahan,7468,WxNW,West Coast Council,N/A,,,,Yes - featured,
Strathblane,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Strathgordon,7139,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Strickland,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Strzelecki,7255,VNT,Flinders Council,N/A,Yes - featured,,,,
Styx,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Sulphur Creek,7316,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Summerhill,7250,VNT,Launceston City Council,Meander Valley Council,Yes - featured,,,,
Sunnyside,7305,WxNW,Kentish Council,N/A,,,,,Yes - featured
Surges Bay,7116,DST,Huon Valley Council,N/A,,Yes - featured,,,
Surprise Bay,7256,WxNW,King Island Council,N/A,,,,,Yes - featured
Surveyors Bay,7116,DST,Huon Valley Council,N/A,,Yes - featured,,,
Swan Bay,7252,VNT,Launceston City Council,N/A,Yes - featured,,,,
Swan Point,7275,VNT,West Tamar Council,N/A,Yes - featured,,,,
Swansea,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Swanston,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Table Cape,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Takone,7325,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Talawa,7263,VNT,Dorset Council,N/A,Yes - featured,,,,
Taranna,7180,DST,Tasman Council,N/A,,Yes - featured,,,
Targa,7259,VNT,Launceston City Council,N/A,Yes - featured,,,,
Tarleton,7310,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Taroona,7053,DST,Kingborough Council,N/A,,Yes - featured,,,
Tarraleah,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Tayene,7259,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Tea Tree,7017,DST,Brighton Council,N/A,,Yes - featured,,,
Telita,7264,VNT,Dorset Council,N/A,Yes - featured,,,,
Temma,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Tewkesbury,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
The Gardens,7216,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Thirlstane,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
Three Hummock Island,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Tiberias,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Tinderbox,7054,DST,Kingborough Council,N/A,,Yes - featured,,,
Tods Corner,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Togari,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Toiberry,7301,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Tolmans Hill,7007,DST,Hobart City Council,N/A,,Yes - featured,,,
Tomahawk,7262,VNT,Dorset Council,N/A,Yes - featured,,,,
Tonganah,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Tooms Lake,7209,VNT,Northern Midlands Council,N/A,Yes - featured,,,,
Tranmere,7018,DST,Clarence City Council,N/A,,Yes - featured,,,
Travellers Rest,7250,VNT,Meander Valley Council,Northern Midlands Council,Yes - featured,,,,
Trenah,7263,VNT,Dorset Council,N/A,Yes - featured,,,,
Trevallyn,7250,VNT,West Tamar Council,Launceston City Council,Yes - featured,,,,
Triabunna,7190,ECTT,Glamorgan Spring Bay Council,N/A,,,Yes - featured,,
Trial Harbour,7469,WxNW,West Coast Council,N/A,,,,Yes - featured,
Trowutta,7330,WxNW,Circular Head Council,N/A,,,,,Yes - featured
Tugrah,7310,WxNW,Devonport City Council,N/A,,,,,Yes - featured
Tulendeena,7260,VNT,Dorset Council,N/A,Yes - featured,,,,
Tullah,7321,WxNW,West Coast Council,N/A,,,,Yes - featured,
Tunbridge,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Tunnack,7120,DST,Southern Midlands Council,N/A,,Yes - featured,,,
Tunnel,7254,VNT,Launceston City Council,N/A,Yes - featured,,,,
Turners Beach,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Turners Marsh,7267,VNT,Launceston City Council,N/A,Yes - featured,,,,
Tyenna,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Ulverstone,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Underwood,7268,VNT,Launceston City Council,N/A,Yes - featured,,,,
Upper Blessington,7212,VNT,Launceston City Council,N/A,Yes - featured,,,,
Upper Burnie,7320,WxNW,Burnie Council,N/A,,,,,Yes - featured
Upper Castra,7315,WxNW,Central Coast Council,N/A,,,,,Yes - featured
Upper Esk,7214,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Upper Natone,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
Upper Scamander,7215,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Upper Stowport,7321,WxNW,Burnie Council,N/A,,,,,Yes - featured
Upper Woodstock,7150,DST,Huon Valley Council,N/A,,Yes - featured,,,
Uxbridge,7140,DST,Derwent Valley Council,N/A,,Yes - featured,,,
Verona Sands,7112,DST,Huon Valley Council,N/A,,Yes - featured,,,
Victoria Valley,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Waddamana,7030,DST,Central Highlands Council,N/A,,Yes - featured,,,
Walls of Jerusalem,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Waratah,7321,WxNW,Waratah-Wynyard Council,N/A,,,,,Yes - featured
Warrane,7018,DST,Clarence City Council,N/A,,Yes - featured,,,
Warrentinna,7261,VNT,Dorset Council,N/A,Yes - featured,,,,
Waterhouse,7262,VNT,Dorset Council,N/A,Yes - featured,,,,
Waterloo,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Wattle Grove,7109,DST,Huon Valley Council,N/A,,Yes - featured,,,
Wattle Hill,7172,DST,Sorell Council,N/A,,Yes - featured,,,
Waverley,7250,VNT,Launceston City Council,N/A,Yes - featured,,,,
Wayatinah,7140,DST,Central Highlands Council,N/A,,Yes - featured,,,
Weegena,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Weetah,7304,VNT,Meander Valley Council,N/A,Yes - featured,,,,
Weldborough,7264,ECTT,Break O'Day Council,N/A,,,Yes - featured,,
Wellington Park,7054,DST,Hobart City Council,N/A,,Yes - featured,,,
Wesley Vale,7307,WxNW,Latrobe Council,N/A,,,,,Yes - featured
West Hobart,7000,DST,Hobart City Council,N/A,,Yes - featured,,,
